ticker,instrument,name,sector,industry,currency,created_date
HON,stock,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,USD,2020-10-21 02:46:36.159667
HRL,stock,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,USD,2020-10-21 02:46:36.159667
HST,stock,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,USD,2020-10-21 02:46:36.159667
HWM,stock,Howmet Aerospace,Industrials,Aerospace & Defense,USD,2020-10-21 02:46:36.159667
HPQ,stock,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",USD,2020-10-21 02:46:36.159667
HUM,stock,Humana Inc.,Health Care,Managed Health Care,USD,2020-10-21 02:46:36.159667
HBAN,stock,Huntington Bancshares,Financials,Regional Banks,USD,2020-10-21 02:46:36.159667
HII,stock,Huntington Ingalls Industries,Industrials,Aerospace & Defense,USD,2020-10-21 02:46:36.159667
IEX,stock,IDEX Corporation,Industrials,Industrial Machinery,USD,2020-10-21 02:46:36.159667
IDXX,stock,IDEXX Laboratories,Health Care,Health Care Equipment,USD,2020-10-21 02:46:36.159667
INFO,stock,IHS Markit Ltd.,Industrials,Research & Consulting Services,USD,2020-10-21 02:46:36.159667
ITW,stock,Illinois Tool Works,Industrials,Industrial Machinery,USD,2020-10-21 02:46:36.159667
ILMN,stock,Illumina Inc,Health Care,Life Sciences Tools & Services,USD,2020-10-21 02:46:36.159667
INCY,stock,Incyte,Health Care,Biotechnology,USD,2020-10-21 02:46:36.159667
IR,stock,Ingersoll Rand,Industrials,Industrial Machinery,USD,2020-10-21 02:46:36.159667
INTC,stock,Intel Corp.,Information Technology,Semiconductors,USD,2020-10-21 02:46:36.159667
ICE,stock,Intercontinental Exchange,Financials,Financial Exchanges & Data,USD,2020-10-21 02:46:36.159667
IBM,stock,International Business Machines,Information Technology,IT Consulting & Other Services,USD,2020-10-21 02:46:36.159667
IP,stock,International Paper,Materials,Paper Packaging,USD,2020-10-21 02:46:36.159667
IPG,stock,Interpublic Group,Communication Services,Advertising,USD,2020-10-21 02:46:36.159667
IFF,stock,International Flavors & Fragrances,Materials,Specialty Chemicals,USD,2020-10-21 02:46:36.159667
